Name,Address,Contact,Ranking,Cuisine,Reviews,Opening_hours,Ratings,Website,Item_url
Burger & Lobster,"39 W 19th St between Fifth & 6th Avenues, New York City, NY 10011-4225",+1 646-833-7532,#115,$$ - $$$AmericanSeafood,"1,104 reviews",See all hours,4.5,http://www.burgerandlobster.com/locations/new-york/flatiron/,https://www.tripadvisor.com/Restaurant_Review-g60763-d7345837-Reviews-Burger_Lobster-New_York_City_New_York.html
Piccola Cucina Estiatorio,"75 Thompson St., New York City, NY 10012",+1 646-781-9183,#1,$$ - $$$ItalianSicilianVegetarian Friendly,692 reviews,See all hours,5.0,http://www.piccolacucinagroup.com/piccola-cucina-estiatorio-sohy-nyc/,https://www.tripadvisor.com/Restaurant_Review-g60763-d12425739-Reviews-Piccola_Cucina_Estiatorio-New_York_City_New_York.html
Olio E Più,"3 Greenwich Ave, New York City, NY 10014",+1 212-243-6546,#2,$$ - $$$ItalianPizzaVegetarian Friendly,"3,371 reviews",See all hours,4.5,http://www.olioepiu.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1878682-Reviews-Olio_E_Piu-New_York_City_New_York.html
Petite Boucherie,"14 Christopher St, New York City, NY 10014-3523",+1 646-756-4145,#3,$$ - $$$FrenchVegetarian FriendlyVegan Options,714 reviews,See all hours,4.5,http://boucherieus.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d10145683-Reviews-Petite_Boucherie-New_York_City_New_York.html
Boucherie Union Square,"225 Park Avenue South, New York City, NY 10003-1604",+1 212-353-0200,#4,$$$$FrenchSteakhouseGluten Free Options,"1,575 reviews",See all hours,5.0,http://boucherieus.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d13504265-Reviews-Boucherie_Union_Square-New_York_City_New_York.html
Jams,"1414 6th Ave, New York City, NY 10019",+1 212-703-2007,#5,$$ - $$$AmericanHealthyVegetarian Friendly,809 reviews,See all hours,4.5,https://www.1hotels.com/central-park/taste/jams,https://www.tripadvisor.com/Restaurant_Review-g60763-d8557227-Reviews-Jams-New_York_City_New_York.html
Brooklyn Chop House - Times Square,"253 W 47th St, New York City, NY 10036-1412",+1 212-619-1210,"#3,036",$$$$ChineseSteakhouseBar,19 reviews,See all hours,4.0,https://www.brooklynchophouse.com/times-square/,https://www.tripadvisor.com/Restaurant_Review-g60763-d25253335-Reviews-Brooklyn_Chop_House_Times_Square-New_York_City_New_York.html
Club A Steakhouse,"240 E 58th St, New York City, NY 10022-2001",+1 212-688-4190,#6,$$$$AmericanSteakhouseGluten Free Options,"4,512 reviews",See all hours,4.5,http://www.clubasteakhouse.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d1236281-Reviews-Club_A_Steakhouse-New_York_City_New_York.html
Dos Caminos,"1567 Broadway Between 46th Street & 47th Street, New York City, NY 10036",+1 212-918-1330,#7,$$ - $$$MexicanLatinVegetarian Friendly,"1,459 reviews",,4.5,https://www.doscaminos.com/location/dos-caminos-times-square/,https://www.tripadvisor.com/Restaurant_Review-g60763-d8567192-Reviews-Dos_Caminos-New_York_City_New_York.html
La Grande Boucherie,"145 W 53rd St, New York City, NY 10019-6005",+1 212-510-7714,#8,$$$$FrenchSteakhouse,"1,859 reviews",See all hours,5.0,http://boucherieus.com/,https://www.tripadvisor.com/Restaurant_Review-g60763-d21410713-Reviews-La_Grande_Boucherie-New_York_City_New_York.html
